feat_ID,RT,Compound,H-MA_1,H-MA_2,H-MA_3,H-M-EC_1,H-M-EC_2,H-M-EC_3,H-M-T5_1,H-M-T5_2,H-M-T5_3,H-N-GE-WS_1,H-N-GE-WS_2,H-N-GE-WS_3,H-WI_1,H-WI_2,H-WI_3,C-MA_1,C-MA_2,C-MA_3,C-M-EC_1,C-M-EC_2,C-M-EC_3,C-M-T5_1,C-M-T5_2,C-M-T5_3,C-N-GE-WS_1,C-N-GE-WS_2,C-N-GE-WS_3,C-WI_1,C-WI_2,C-WI_3,Odour,Key Odorant ,LRI Exp,LRI Teo,Delta_LRI,CAS_ID,InChIKey,SMILES,NPCclass,NPCsuperclass,NPCpathway
1,1.99,2-methyl-propanal,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.45E+06,8.16E+06,6.72E+06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.98E+07,1.87E+07,1.75E+07,0.00E+00,0.00E+00,0.00E+00,aldehydic,X,833,827,6,78-84-2,AMIMRNSIRUDHCM-UHFFFAOYSA-N,CC(C)C=O,Fatty aldehydes,Fatty acyls,Fatty acids
2,2.6,2-methyl-butanal,3.85E+07,3.79E+07,2.94E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.43E+07,8.10E+07,7.37E+07,0.00E+00,0.00E+00,0.00E+00,8.55E+07,8.72E+07,8.53E+07,0.00E+00,0.00E+00,0.00E+00,2.09E+07,1.93E+07,2.25E+07,1.59E+08,1.53E+08,1.52E+08,1.90E+07,1.84E+07,1.79E+07,cocoa,X,922,930,8,96-17-3,BYGQBDHUGHBGMD-UHFFFAOYSA-N,CCC(C)C=O,Fatty aldehydes,Fatty acyls,Fatty acids
3,2.94,2-ethyl-furan,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.95E+06,6.81E+06,7.69E+06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.20E+07,1.55E+07,1.44E+07,2.25E+06,1.50E+06,1.07E+06,chemical,X,954,945,9,3208-16-0,HLPIHRDZBHXTFJ-UHFFFAOYSA-N,CCC1=CC=CO1,Furans,Cyclic polyketides,Polyketides
4,3.25,3-Pentanone,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.27E+07,1.73E+07,1.59E+07,ethereal,,982,977,5,96-22-0,FDPIMTJIUBPUKL-UHFFFAOYSA-N,CCC(=O)CC,Oxygenated hydrocarbons,Fatty acyls,Fatty acids
5,3.3,Pentanal,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.55E+07,1.60E+07,1.29E+07,1.65E+08,1.79E+08,1.53E+08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.15E+07,3.61E+07,2.78E+07,0.00E+00,0.00E+00,0.00E+00,fermented,X,987,980,7,110-62-3,HGBOYTHUEUWSSQ-UHFFFAOYSA-N,CCCCC=O,Fatty aldehydes,Fatty acyls,Fatty acids
6,3.88,alpha-Pinene,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.71E+06,8.21E+06,6.82E+06,5.94E+06,7.69E+06,6.49E+06,herbal,,1023,1012,11,80-56-8,GRWFGVWFFZKLTI-UHFFFAOYSA-N,CC1=CCC2CC1C2(C)C,Pinane monoterpenoids,Monoterpenoids,Terpenoids
7,4.52,"2,3-Pentanedione",0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.89E+06,1.72E+06,1.76E+06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,buttery,X,1057,1072,15,600-14-6,TZMFJUDUGYTVRY-UHFFFAOYSA-N,CCC(=O)C(=O)C,Oxygenated hydrocarbons,Fatty acyls,Fatty acids
8,4.74,"Disulfide, dimethyl",0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.18E+06,1.14E+06,1.22E+06,0.00E+00,0.00E+00,0.00E+00,sulfurous,X,1068,1050,18,624-92-0,WQOXQRCZOLPYPM-UHFFFAOYSA-N,CSSC,,,
9,4.9,Hexanal,1.57E+07,1.53E+07,1.10E+07,0.00E+00,0.00E+00,0.00E+00,5.15E+06,5.85E+06,5.29E+06,7.01E+06,6.78E+06,6.51E+06,2.14E+07,2.31E+07,2.20E+07,8.05E+06,8.89E+06,9.43E+06,6.56E+06,6.53E+06,7.05E+06,0.00E+00,0.00E+00,0.00E+00,2.75E+06,2.65E+06,2.72E+06,9.86E+06,8.52E+06,7.84E+06,green,X,1077,1075,2,66-25-1,JARKCYVAAOWBJS-UHFFFAOYSA-N,CCCCCC=O,Fatty aldehydes,Fatty acyls,Fatty acids
10,5.67,Ethylbenzene,0.00E+00,0.00E+00,0.00E+00,6.01E+06,7.80E+06,8.18E+06,5.56E+06,6.45E+06,5.04E+06,4.50E+06,4.69E+06,3.93E+06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.59E+06,1.86E+06,2.63E+06,9.09E+06,7.09E+06,9.63E+06,0.00E+00,0.00E+00,0.00E+00,NC,,1114,1139,25,100-41-4,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,CCC1=CC=CC=C1,,,Shikimates and Phenylpropanoids
